crumbs,turnout,url,id
"['Österreich', 'Tirol', 'Osttirol', 'Lienz', 'Abfaltersbach']",41.8,http://euwahl2014.bmi.gv.at/70701.html,70701
"['Österreich', 'Tirol', 'Innsbruck-Land', 'Innsbruck-Land', 'Absam']",35.1,http://euwahl2014.bmi.gv.at/70301.html,70301
"['Österreich', 'Niederösterreich', 'Niederösterreich Mitte', 'Tulln', 'Absdorf']",54.6,http://euwahl2014.bmi.gv.at/32101.html,32101
"['Österreich', 'Salzburg', 'Flachgau/Tennengau', 'Hallein', 'Abtenau']",34.3,http://euwahl2014.bmi.gv.at/50201.html,50201
"['Österreich', 'Niederösterreich', 'Wien Umgebung', 'Mödling', 'Achau']",49.6,http://euwahl2014.bmi.gv.at/31701.html,31701
"['Österreich', 'Tirol', 'Innsbruck-Land', 'Schwaz', 'Achenkirch']",28.3,http://euwahl2014.bmi.gv.at/70901.html,70901
"['Österreich', 'Niederösterreich', 'Weinviertel', 'Gänserndorf', 'Aderklaa']",58.2,http://euwahl2014.bmi.gv.at/30801.html,30801
"['Österreich', 'Oberösterreich', 'Traunviertel', 'Steyr-Land', 'Adlwang']",46.4,http://euwahl2014.bmi.gv.at/41501.html,41501
"['Österreich', 'Steiermark', 'Obersteiermark', 'Liezen', 'Admont']",29.4,http://euwahl2014.bmi.gv.at/61201.html,61201
"['Österreich', 'Salzburg', 'Flachgau/Tennengau', 'Hallein', 'Adnet']",43.7,http://euwahl2014.bmi.gv.at/50202.html,50202
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Rohrbach', 'Afiesl']",51.8,http://euwahl2014.bmi.gv.at/41301.html,41301
"['Österreich', 'Steiermark', 'Obersteiermark', 'Bruck-Mürzzuschlag', 'Aflenz Kurort']",44.7,http://euwahl2014.bmi.gv.at/62101.html,62101
"['Österreich', 'Steiermark', 'Obersteiermark', 'Bruck-Mürzzuschlag', 'Aflenz Land']",39.4,http://euwahl2014.bmi.gv.at/62102.html,62102
"['Österreich', 'Kärnten', 'Villach', 'Villach Land', 'Afritz am See']",34.2,http://euwahl2014.bmi.gv.at/20701.html,20701
"['Österreich', 'Niederösterreich', 'Waldviertel', 'Krems (Land)', 'Aggsbach']",54.3,http://euwahl2014.bmi.gv.at/31301.html,31301
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Rohrbach', 'Ahorn']",56.1,http://euwahl2014.bmi.gv.at/41302.html,41302
"['Österreich', 'Steiermark', 'Weststeiermark', 'Deutschlandsberg', 'Aibl']",29.3,http://euwahl2014.bmi.gv.at/60301.html,60301
"['Österreich', 'Steiermark', 'Obersteiermark', 'Liezen', 'Aich']",34.0,http://euwahl2014.bmi.gv.at/61202.html,61202
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Wels-Land', 'Aichkirchen']",54.1,http://euwahl2014.bmi.gv.at/41801.html,41801
"['Österreich', 'Steiermark', 'Obersteiermark', 'Liezen', 'Aigen im Ennstal']",35.4,http://euwahl2014.bmi.gv.at/61203.html,61203
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Rohrbach', 'Aigen im Mühlkreis']",41.0,http://euwahl2014.bmi.gv.at/41303.html,41303
"['Österreich', 'Tirol', 'Osttirol', 'Lienz', 'Ainet']",32.2,http://euwahl2014.bmi.gv.at/70702.html,70702
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Grieskirchen', 'Aistersheim']",44.5,http://euwahl2014.bmi.gv.at/40801.html,40801
"['Österreich', 'Kärnten', 'Kärnten West', 'Feldkirchen', 'Albeck']",35.2,http://euwahl2014.bmi.gv.at/21001.html,21001
