crumbs,id,total,turnout,voters,canton
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Hainaut', ""District of Fontaine-l'Evêque""]",52022,51219,87.33,44730,Fontaine-l'Évêque
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Liège', 'District of Ferrières']",61019,3737,89.64,3350,Ferrières
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Luxembourg', 'District of Paliseul']",84050,11597,91.33,10591,Paliseul
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Hainaut', 'District of Enghien']",55010,16034,89.35,14327,Enghien
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'Dutch Electoral College', 'Constituency of Flanders', 'Province of East-Flanders', 'District of Zomergem']",44080,20736,92.12,19102,Zomergem
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Namur', 'District of Couvin']",93014,15251,87.79,13389,Couvin
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'Dutch Electoral College', 'Constituency of Flanders', 'Province of East-Flanders', 'District of Kaprijke']",43007,5020,92.65,4651,Kaprijke
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Hainaut', 'District of Dour']",53020,34609,88.27,30548,Dour
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Hainaut', 'District of Chimay']",56016,11718,86.75,10165,Chimay
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Luxembourg', 'District of Bastogne']",82003,13476,92.09,12410,Bastogne
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'Dutch Electoral College', 'Constituency of Flanders', 'Province of West-Flanders', 'District of Vleteren']",33041,2837,92.84,2634,Vleteren
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'Dutch Electoral College', 'Constituency of Flanders', 'Province of East-Flanders', 'District of Destelbergen']",44013,14012,92.93,13021,Destelbergen
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'Constituency of Brussels-Capital', 'District of Saint-Gilles']",21013,20812,83.79,17439,Saint-Gilles | Sint-Gillis
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Liège', 'District of Stavelot']",63073,12385,87.66,10857,Stavelot
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Liège', 'District of Saint-Nicolas']",62093,35116,86.83,30490,Saint-Nicolas
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Hainaut', 'District of Celles']",57018,6866,91.83,6305,Celles
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Luxembourg', 'District of Wellin']",84075,5238,91.47,4791,Wellin
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'Dutch Electoral College', 'Constituency of Flanders', 'Province of Flemish Brabant', 'District of Meise']",23050,61725,91.11,56240,Meise
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'German Language Community', 'German Language Constituency', 'German Language Constituency', 'District of Eupen']",63023,27628,86.27,23836,Eupen
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'Dutch Electoral College', 'Constituency of Flanders', 'Province of Limburg', 'District of Borgloon']",73009,35764,94.4,33761,Borgloon
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Walloon Brabant', 'District of Nivelles']",25072,104931,88.49,92854,Nivelles
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'Dutch Electoral College', 'Constituency of Flanders', 'Province of Limburg', 'District of Maaseik']",72021,40336,93.59,37752,Maaseik
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Hainaut', 'District of Leuze-en-Hainaut']",57094,10370,88.65,9193,Leuze-en-Hainaut
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'Dutch Electoral College', 'Constituency of Flanders', 'Province of West-Flanders', 'District of Oostrozebeke']",37010,13201,94.29,12447,Oostrozebeke
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'French Electoral College', 'Constituency of Walloon', 'Province of Luxembourg', 'District of Fauvillers']",82009,1584,92.99,1473,Fauvillers
"['Home', 'Elections 2014', 'European Parliament', 'List Results', 'Dutch Electoral College', 'Constituency of Flanders', 'Province of Antwerp', 'District of Hoogstraten']",13014,28881,91.44,26410,Hoogstraten
