"European Parliament Election by time, region and result of the election"

" ";" ";"VALID BALLOTS";"PERSONAL BALLOTS";"VALID ABSENTEE BALLOTS";"INVALID BALLOTS";"INVALID BALLOTS CAST ON POLLING STATION";"Blanks";"INVALID ABSENTEE BALLOTS";"Blanks";"NUMBER OF VOTERS"
"2014"
" ";"Copenhagen";219140;145524;18511;6347;5851;4783;496;217;400933
" ";"Frederiksberg";46087;32153;5406;992;868;781;124;69;74849
" ";"Dragør";6088;4894;543;105;88;73;17;14;10208
" ";"Tårnby";15990;12070;1178;361;324;286;37;19;30709
" ";"Albertslund";10125;7426;711;230;215;181;15;4;18334
" ";"Ballerup";20336;15105;1483;483;435;377;48;30;34844
" ";"Brøndby";11770;8574;1078;259;222;192;37;11;23911
" ";"Gentofte";33461;25201;4200;518;402;351;116;56;50971
" ";"Gladsaxe";27261;19964;2137;654;580;539;74;43;46395
" ";"Glostrup";8787;6390;518;216;197;175;19;9;16250
" ";"Herlev";10917;8011;666;256;239;215;17;5;19807
" ";"Hvidovre";19282;14149;1272;398;361;332;37;23;36883
" ";"Høje-Taastrup";17958;13500;880;441;405;347;36;21;32744
" ";"Ishøj";6577;4959;420;130;120;96;10;4;13477
" ";"Lyngby-Taarbæk";25022;18582;1977;492;461;399;31;16;38830
" ";"Rødovre";14827;10525;1086;399;369;327;30;9;27152
" ";"Vallensbæk";6057;4573;470;126;113;73;13;3;10360
" ";"Allerød";11801;8976;770;216;204;179;12;6;17306
" ";"Egedal";18762;14061;958;408;388;357;20;8;30257
" ";"Fredensborg";17435;13311;1222;318;290;269;28;10;27956
" ";"Frederikssund";18777;14371;1527;381;348;275;33;15;33379
" ";"Furesø";18139;13702;1385;324;295;263;29;15;27135
" ";"Gribskov";17802;14150;1038;339;330;292;9;0;31159
" ";"Halsnæs";12048;9313;885;281;259;201;22;8;23206
" ";"Helsingør";25466;19825;2381;513;474;428;39;17;45374
" ";"Hillerød";21423;15976;1298;461;442;400;19;0;34948
" ";"Hørsholm";11975;9445;1069;155;144;136;11;5;18119
" ";"Rudersdal";26461;19912;2771;427;356;303;71;30;38994
" ";"Bornholm";16205;13593;1254;452;413;368;39;16;31784
" ";"Christiansø";50;33;13;6;5;4;1;0;65
" ";"Greve";20152;15252;1206;442;415;332;27;12;34902
" ";"Køge";24211;18116;1174;593;567;485;26;14;42749
" ";"Lejre";12582;9450;510;283;277;246;6;3;19954
" ";"Roskilde";37003;27176;2554;861;803;732;58;20;61937
" ";"Solrød";9279;7011;543;192;173;141;19;7;15574
" ";"Faxe";13917;10667;875;358;319;288;39;12;26637
" ";"Guldborgsund";25580;20064;1437;684;632;559;52;30;47939
" ";"Holbæk";27199;20364;1431;621;592;534;29;12;51251
" ";"Kalundborg";19289;14606;949;464;445;401;19;7;37138
" ";"Lolland";16506;12954;1316;465;419;363;46;20;34382
" ";"Næstved";32820;24349;1594;846;788;703;58;28;61706
" ";"Odsherred";14058;10837;737;317;296;265;21;9;26083
" ";"Ringsted";13289;9882;647;307;283;253;24;13;24271
" ";"Slagelse";29992;22967;1480;718;689;628;29;10;58408
" ";"Sorø";12311;9245;552;287;269;248;18;12;22115
" ";"Stevns";9612;7560;456;172;164;141;8;5;16857
" ";"Vordingborg";20190;15758;1006;484;458;413;26;14;35327
" ";"Assens";17539;13826;931;429;412;364;17;7;30987
" ";"Faaborg-Midtfyn";22402;17768;875;603;586;523;17;5;38811
" ";"Kerteminde";10631;8231;422;278;266;241;12;8;18026
" ";"Langeland";5435;4505;305;124;119;93;5;2;10388
" ";"Middelfart";16183;12878;833;404;377;307;27;10;28416
" ";"Nordfyns";12511;10248;556;245;238;222;7;1;21818
" ";"Nyborg";13282;10432;631;361;352;311;9;5;23951
" ";"Odense";79981;60990;4428;2384;2261;1889;123;62;145497
" ";"Svendborg";24932;19680;1479;680;632;584;48;27;44390
" ";"Ærø";2803;2329;317;55;44;43;11;7;5204
" ";"Billund";9544;7737;364;196;190;167;6;4;19146
