municipality,turnout,county
Maakond,39.7,Harju maakond
Aegviidu,44.1,Harju maakond
Anija,32.1,Harju maakond
Harku,43.2,Harju maakond
Jõelähtme,37.1,Harju maakond
Keila,37.8,Harju maakond
Keila,41.7,Harju maakond
Kernu,33.8,Harju maakond
Kiili,42.3,Harju maakond
Kose,33.8,Harju maakond
Kuusalu,37.4,Harju maakond
Loksa,35.7,Harju maakond
Maardu,31.4,Harju maakond
Nissi,34.1,Harju maakond
Padise,34.7,Harju maakond
Paldiski,31.6,Harju maakond
Raasiku,35.6,Harju maakond
Rae,41.0,Harju maakond
Saku,43.1,Harju maakond
Saue,43.3,Harju maakond
Saue,47.4,Harju maakond
Vasalemma,26.3,Harju maakond
Viimsi,46.1,Harju maakond
Maakond,33.3,Hiiu maakond
Emmaste,36.8,Hiiu maakond
Hiiu,32.4,Hiiu maakond
Käina,33.4,Hiiu maakond
Pühalepa,33.3,Hiiu maakond
Maakond,30.5,Ida-Viru maakond
Alajõe,33.7,Ida-Viru maakond
Aseri,32.9,Ida-Viru maakond
Avinurme,36.6,Ida-Viru maakond
Iisaku,30.4,Ida-Viru maakond
Illuka,28.9,Ida-Viru maakond
Jõhvi,36.4,Ida-Viru maakond
Kiviõli,34.4,Ida-Viru maakond
Kohtla,29.5,Ida-Viru maakond
Kohtla-Järve,30.7,Ida-Viru maakond
Kohtla-Nõmme,35.6,Ida-Viru maakond
Lohusuu,32.5,Ida-Viru maakond
Lüganuse,31.6,Ida-Viru maakond
Mäetaguse,26.6,Ida-Viru maakond
Narva,26.7,Ida-Viru maakond
Narva-Jõesuu,30.5,Ida-Viru maakond
Sillamäe,28.9,Ida-Viru maakond
Sonda,38.3,Ida-Viru maakond
Toila,38.2,Ida-Viru maakond
Tudulinna,37.7,Ida-Viru maakond
Vaivara,27.3,Ida-Viru maakond
Maakond,31.3,Jõgeva maakond
Jõgeva vald,31.2,Jõgeva maakond
Jõgeva,35.7,Jõgeva maakond
Mustvee,28.2,Jõgeva maakond
Pajusi,27.8,Jõgeva maakond
Pala,29.9,Jõgeva maakond
Palamuse,30.3,Jõgeva maakond
Puurmani,31.8,Jõgeva maakond
Põltsamaa vald,27.4,Jõgeva maakond
Põltsamaa,38.0,Jõgeva maakond
Kasepää,30.4,Jõgeva maakond
Saare,28.5,Jõgeva maakond
Tabivere,26.5,Jõgeva maakond
Torma,26.0,Jõgeva maakond
Maakond,32.0,Järva maakond
Albu,30.2,Järva maakond
Ambla,32.8,Järva maakond
Imavere,31.8,Järva maakond
Järva-Jaani,31.6,Järva maakond
Kareda,39.8,Järva maakond
Koeru,28.6,Järva maakond
Koigi,33.3,Järva maakond
Paide,23.8,Järva maakond
Paide,34.6,Järva maakond
Roosna-Alliku,34.1,Järva maakond
Türi,31.2,Järva maakond
Väätsa,31.2,Järva maakond
Maakond,33.5,Lääne maakond
Haapsalu,35.9,Lääne maakond
Hanila,35.6,Lääne maakond
Kullamaa,31.2,Lääne maakond
Lihula,27.7,Lääne maakond
Lääne-Nigula,32.8,Lääne maakond
Martna,30.3,Lääne maakond
Noarootsi,33.9,Lääne maakond
Nõva,46.5,Lääne maakond
Ridala,27.8,Lääne maakond
Vormsi,47.2,Lääne maakond
Maakond,29.7,Lääne-Viru maakond
Haljala,28.9,Lääne-Viru maakond
Kadrina,29.7,Lääne-Viru maakond
Kunda,28.2,Lääne-Viru maakond
Laekvere,33.6,Lääne-Viru maakond
Rakke,27.0,Lääne-Viru maakond
Rakvere,24.0,Lääne-Viru maakond
Rakvere,30.4,Lääne-Viru maakond
Rägavere,27.8,Lääne-Viru maakond
Sõmeru,29.4,Lääne-Viru maakond
Tamsalu,25.7,Lääne-Viru maakond
Tapa,30.2,Lääne-Viru maakond
Vihula,37.8,Lääne-Viru maakond
Vinni,33.1,Lääne-Viru maakond
Viru-Nigula,28.0,Lääne-Viru maakond
Väike-Maarja,27.6,Lääne-Viru maakond
Maakond,29.2,Põlva maakond
Ahja,31.2,Põlva maakond
Kanepi,27.4,Põlva maakond
Kõlleste,29.4,Põlva maakond
Laheda,26.4,Põlva maakond
Mikitamäe,22.8,Põlva maakond
Mooste,24.1,Põlva maakond
