Con Lab LDem UKIP Green BNP PC/SNP Others Total Con Lab LDem UKIP Green BNP SNP/PC Others Electorate Turnout
North East
Darlington 26.2% 28.3% 5.1% 30.7% 4.9% 1.3% 0.0% 3.5% 23,145 -2.2% 8.1% -9.7% 14.6% -1.3% -6.2% 0.0% -3.4% 78,200 29.6%
Durham 15.5% 39.4% 5.2% 28.1% 5.5% 2.1% 0.0% 4.0% 110,285 -0.9% 10.6% -12.3% 13.4% -0.1% -7.3% 0.0% -3.4% 399,294 27.6%
Gateshead 11.7% 43.0% 8.0% 27.3% 5.1% 1.7% 0.0% 3.2% 52,061 -1.3% 13.1% -12.0% 12.9% -0.4% -7.5% 0.0% -4.7% 147,386 35.3%
Hartlepool 15.7% 31.1% 2.7% 39.0% 4.1% 2.0% 0.0% 5.4% 19,041 -2.4% 8.2% -8.9% 13.7% -0.3% -8.3% 0.0% -2.1% 70,170 27.1%
Middlesbrough 15.6% 35.5% 3.1% 36.6% 4.1% 1.7% 0.0% 3.4% 23,773 -4.2% 9.7% -8.5% 17.8% -1.0% -9.0% 0.0% -4.7% 98,422 24.2%
Newcastle upon Tyne 13.7% 38.6% 10.5% 23.5% 8.0% 1.7% 0.0% 4.1% 67,197 -0.9% 14.7% -15.9% 11.8% 0.5% -7.0% 0.0% -3.1% 201,929 33.3%
North Tyneside 20.2% 38.2% 4.0% 26.3% 5.4% 1.5% 0.0% 4.3% 54,720 -6.4% 11.2% -10.6% 13.1% 0.1% -5.7% 0.0% -1.8% 157,388 34.8%
Northumberland 25.4% 27.7% 9.7% 27.4% 5.6% 1.2% 0.0% 3.0% 78,480 1.9% 10.1% -15.3% 12.6% -1.3% -4.8% 0.0% -3.2% 242,792 32.3%
Redcar and Cleveland 18.5% 27.8% 7.5% 36.1% 4.4% 1.6% 0.0% 4.1% 30,702 -3.3% 8.5% -8.3% 16.1% -1.1% -8.0% 0.0% -4.0% 103,830 29.6%
South Tyneside 12.8% 42.8% 2.3% 30.8% 4.2% 2.4% 0.0% 4.8% 38,840 -2.3% 15.6% -10.4% 14.9% -1.7% -10.6% 0.0% -5.6% 114,445 33.9%
Stockton 23.8% 30.1% 4.1% 33.1% 3.9% 1.6% 0.0% 3.4% 41,828 -1.4% 9.9% -9.9% 14.4% -1.0% -7.1% 0.0% -4.9% 142,428 29.4%
Sunderland 16.0% 42.1% 2.8% 30.0% 3.8% 1.7% 0.0% 3.5% 68,580 -4.5% 12.1% -8.6% 16.0% -0.8% -9.0% 0.0% -5.2% 212,496 32.3%
North East total 17.7% 36.5% 5.9% 29.2% 5.2% 1.7% 0.0% 3.8% 608,652 -2.1% 11.5% -11.6% 13.8% -0.6% -7.2% 0.0% -3.7% 1,968,780 30.9%
North West
Allerdale 24.0% 29.1% 5.3% 28.8% 6.5% 2.5% 0.0% 3.8% 25,098 -3.8% 6.8% -5.2% 13.2% -0.5% -6.3% 0.0% -4.3% 69,633 36.0%
Barrow in Furness 19.7% 34.7% 2.1% 33.1% 5.1% 1.4% 0.0% 3.8% 12,368 -7.0% 12.1% -8.2% 15.5% -0.5% -5.6% 0.0% -6.4% 52,467 23.6%
Blackburn with Darwen 18.3% 45.9% 2.8% 23.7% 3.9% 2.5% 0.0% 3.0% 39,166 -6.5% 19.1% -10.0% 11.3% -1.9% -6.8% 0.0% -5.3% 103,332 37.9%
Blackpool 22.4% 28.3% 2.5% 33.9% 4.7% 3.8% 0.0% 4.5% 32,695 -7.1% 8.4% -6.3% 15.4% -0.1% -6.3% 0.0% -4.1% 108,675 30.1%
Bolton 19.0% 35.5% 3.2% 31.9% 4.8% 2.1% 0.0% 3.5% 72,156 -8.0% 11.4% -6.1% 15.3% -1.6% -6.7% 0.0% -4.4% 197,296 36.6%
Burnley 12.8% 33.7% 13.8% 28.7% 3.8% 3.7% 0.0% 3.5% 21,807 -4.3% 15.8% -9.1% 13.8% -0.5% -11.1% 0.0% -4.6% 66,527 32.8%
