eligible,turnout,voters
21769,21.53,4686
1568,26.59,417
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
17539,29.68,5205
39682,30.77,12209
17539,29.68,5205
17539,29.68,5205
13802,24.94,3442
17539,29.68,5205
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
17539,29.68,5205
17539,29.68,5205
21769,21.53,4686
21769,21.53,4686
2251,27.14,611
21769,21.53,4686
21769,21.53,4686
17539,29.68,5205
21769,21.53,4686
17539,29.68,5205
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
17539,29.68,5205
17539,29.68,5205
7958,27.9,2220
17539,29.68,5205
17539,29.68,5205
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
12941,24.97,3231
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
1568,26.59,417
6574,32.25,2120
1568,26.59,417
1568,26.59,417
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
2824,29.92,845
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
21769,21.53,4686
17539,29.68,5205
17539,29.68,5205
7958,27.9,2220
7958,27.9,2220
17539,29.68,5205
17539,29.68,5205
7958,27.9,2220
17539,29.68,5205
17539,29.68,5205
1647,24.89,410
1647,24.89,410
17539,29.68,5205
17539,29.68,5205
17539,29.68,5205
17539,29.68,5205
17539,29.68,5205
17539,29.68,5205
17539,29.68,5205
17539,29.68,5205
17539,29.68,5205
17539,29.68,5205
17539,29.68,5205
17539,29.68,5205
17539,29.68,5205
17539,29.68,5205
17539,29.68,5205
1152,34.9,402
1152,34.9,402
1152,34.9,402
1152,34.9,402
1728,34.78,601
1152,34.9,402
1728,34.78,601
1728,34.78,601
1728,34.78,601
1728,34.78,601
7621,23.05,1757
1294,26.97,349
17930,20.44,3664
21769,21.53,4686
2251,27.14,611
8026,28.93,2322
4351,23.53,1024
1728,34.78,601
6625,28.77,1906
270,47.41,128
3116,27.02,842
3071,31.36,963
7958,27.9,2220
4957,26.49,1313
1647,24.89,410
17539,29.68,5205
1108,28.25,313
343,25.95,89
1152,34.9,402
4762,31.14,1483
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
14477,27.23,3942
3889,30.44,1184
343,25.95,89
343,25.95,89
343,25.95,89
7073,33.54,2372
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
1425,47.79,681
6910,35.7,2467
778,31.23,243
1537,44.37,682
624,34.13,213
2523,31.11,785
2728,32.62,890
3873,38.34,1485
1908,38.26,730
462,45.89,212
840,33.57,282
