district_id,district_name,eligible,voters,turnout,constituency_name,constituency_id,id
1,JESENICE,26618,5907,22.19,KRANJ,1,1001
2,RADOVLJICA I,14009,3901,27.85,KRANJ,1,1002
3,RADOVLJICA II,16002,4163,26.02,KRANJ,1,1003
4,KRANJ I,20628,5230,25.35,KRANJ,1,1004
5,KRANJ II,20798,5080,24.43,KRANJ,1,1005
6,KRANJ III,23376,6916,29.59,KRANJ,1,1006
7,TRŽIČ,12710,2888,22.72,KRANJ,1,1007
8,ŠKOFJA LOKA I,18479,5324,28.81,KRANJ,1,1008
9,ŠKOFJA LOKA II,15331,4609,30.06,KRANJ,1,1009
10,KAMNIK,27660,7237,26.16,KRANJ,1,1010
11,IDRIJA,13957,3699,26.5,KRANJ,1,1011
1,TOLMIN,16830,5349,31.78,POSTOJNA,2,2001
2,PIRAN,15004,3056,20.37,POSTOJNA,2,2002
3,IZOLA,12858,2750,21.39,POSTOJNA,2,2003
4,KOPER I,18784,3940,20.98,POSTOJNA,2,2004
5,KOPER II,24135,4892,20.27,POSTOJNA,2,2005
6,SEŽANA,21648,6076,28.07,POSTOJNA,2,2006
7,ILIRSKA BISTRICA,13166,2810,21.34,POSTOJNA,2,2007
8,POSTOJNA,18107,4253,23.49,POSTOJNA,2,2008
9,NOVA GORICA I,25602,6575,25.68,POSTOJNA,2,2009
10,NOVA GORICA II,24379,6764,27.75,POSTOJNA,2,2010
11,AJDOVŠČINA,20519,6055,29.51,POSTOJNA,2,2011
1,CERKNICA - LOGATEC,24562,6977,28.41,LJUBLJANA-CENTER,3,3001
2,VRHNIKA,19392,5601,28.88,LJUBLJANA-CENTER,3,3002
3,LJUBLJANA-VIČ RUDNIK I,23911,6308,26.38,LJUBLJANA-CENTER,3,3003
4,LJUBLJANA-VIČ RUDNIK II,16665,4883,29.3,LJUBLJANA-CENTER,3,3004
5,LJUBLJANA-VIČ RUDNIK III,16251,5420,33.35,LJUBLJANA-CENTER,3,3005
6,LJUBLJANA-VIČ RUDNIK IV,20844,6047,29.01,LJUBLJANA-CENTER,3,3006
7,LJUBLJANA-CENTER,22142,6789,30.66,LJUBLJANA-CENTER,3,3007
8,LJUBLJANA-ŠIŠKA I,14763,4465,30.24,LJUBLJANA-CENTER,3,3008
9,LJUBLJANA-ŠIŠKA II,18215,5837,32.05,LJUBLJANA-CENTER,3,3009
10,LJUBLJANA-ŠIŠKA III,17231,5273,30.6,LJUBLJANA-CENTER,3,3010
11,LJUBLJANA-ŠIŠKA IV,21405,6272,29.3,LJUBLJANA-CENTER,3,3011
1,KOČEVJE,14833,2999,20.22,LJUBLJANA-BEŽIGRAD,4,4001
2,RIBNICA,11628,3382,29.08,LJUBLJANA-BEŽIGRAD,4,4002
3,GROSUPLJE,30958,8340,26.94,LJUBLJANA-BEŽIGRAD,4,4003
4,LITIJA,17014,4189,24.62,LJUBLJANA-BEŽIGRAD,4,4004
5,LJUBLJANA-MOSTE POLJE I,22653,6041,26.67,LJUBLJANA-BEŽIGRAD,4,4005
6,LJUBLJANA-MOSTE POLJE II,16469,3739,22.7,LJUBLJANA-BEŽIGRAD,4,4006
7,LJUBLJANA-MOSTE POLJE III,20709,5264,25.42,LJUBLJANA-BEŽIGRAD,4,4007
8,LJUBLJANA-BEŽIGRAD I,23378,7399,31.65,LJUBLJANA-BEŽIGRAD,4,4008
9,LJUBLJANA-BEŽIGRAD II,22031,6564,29.79,LJUBLJANA-BEŽIGRAD,4,4009
10,DOMŽALE I,23302,6208,26.64,LJUBLJANA-BEŽIGRAD,4,4010
11,DOMŽALE II,20907,6060,28.99,LJUBLJANA-BEŽIGRAD,4,4011
1,ŠENTJUR,17040,3394,19.92,CELJE,5,5001
2,CELJE I,29553,6279,21.25,CELJE,5,5002
3,CELJE II,23167,5342,23.06,CELJE,5,5003
4,ŽALEC I,17871,4188,23.43,CELJE,5,5004
5,ŽALEC II,18498,4490,24.27,CELJE,5,5005
6,MOZIRJE,13898,3365,24.21,CELJE,5,5006
7,VELENJE I,16747,3857,23.03,CELJE,5,5007
8,VELENJE II,17618,3973,22.55,CELJE,5,5008
9,SLOVENJ GRADEC,18234,4175,22.9,CELJE,5,5009
10,RAVNE,21882,5021,22.95,CELJE,5,5010
11,DRAVOGRAD - RADLJE,21312,4169,19.56,CELJE,5,5011
1,ČRNOMELJ - METLIKA,23385,5497,23.51,NOVO MESTO,6,6001
2,NOVO MESTO I,26768,5884,21.98,NOVO MESTO,6,6002
3,NOVO MESTO II,25901,6635,25.62,NOVO MESTO,6,6003
4,TREBNJE,16473,3897,23.66,NOVO MESTO,6,6004
5,BREŽICE,21544,4345,20.17,NOVO MESTO,6,6005
6,KRŠKO,23994,5654,23.56,NOVO MESTO,6,6006
7,SEVNICA,14748,3533,23.96,NOVO MESTO,6,6007
8,LAŠKO,15407,3644,23.65,NOVO MESTO,6,6008
9,HRASTNIK,8295,1948,23.48,NOVO MESTO,6,6009
10,TRBOVLJE,14437,3503,24.26,NOVO MESTO,6,6010
11,ZAGORJE,14226,3572,25.11,NOVO MESTO,6,6011
1,ŠMARJE PRI JELŠAH,27774,5128,18.46,MARIBOR,7,7001
2,SLOVENSKA BISTRICA,30096,6026,20.02,MARIBOR,7,7002
3,SLOVENSKE KONJICE,19186,4611,24.03,MARIBOR,7,7003
4,RUŠE,13175,2695,20.46,MARIBOR,7,7004
5,MARIBOR I,18581,4222,22.72,MARIBOR,7,7005
6,MARIBOR II,21077,4220,20.02,MARIBOR,7,7006
7,MARIBOR III,19043,3624,19.03,MARIBOR,7,7007
8,MARIBOR IV,15011,3720,24.78,MARIBOR,7,7008
9,MARIBOR V,17297,3651,21.11,MARIBOR,7,7009
10,MARIBOR VI,17220,3981,23.12,MARIBOR,7,7010
11,MARIBOR VII,15791,3103,19.65,MARIBOR,7,7011
1,LENDAVA,22163,3604,16.26,PTUJ,8,8001
2,ORMOŽ,14964,3407,22.77,PTUJ,8,8002
3,LJUTOMER,15745,3341,21.22,PTUJ,8,8003
4,MURSKA SOBOTA I,25797,5554,21.53,PTUJ,8,8004
5,MURSKA SOBOTA II,25589,5826,22.77,PTUJ,8,8005
6,GORNJA RADGONA,18350,3620,19.73,PTUJ,8,8006
7,LENART,15969,2863,17.93,PTUJ,8,8007
8,PESNICA,16858,3142,18.64,PTUJ,8,8008
9,PTUJ I,21350,4658,21.82,PTUJ,8,8009
10,PTUJ II,17753,4161,23.44,PTUJ,8,8010
11,PTUJ III,20340,3871,19.03,PTUJ,8,8011
