turnout,district,municipality,id
32.31,Okres Zlín – výběr obce,Obec Bělov,588318
24.34,Okres Zlín – výběr obce,Obec Biskupice,585076
24.68,Okres Zlín – výběr obce,Obec Bohuslavice nad Vláří,557102
26.91,Okres Zlín – výběr obce,Obec Bohuslavice u Zlína,585092
31.0,Okres Zlín – výběr obce,Obec Bratřejov,585106
21.82,Okres Zlín – výběr obce,Obec Brumov-Bylnice,585114
26.86,Okres Zlín – výběr obce,Obec Březnice,538744
31.17,Okres Zlín – výběr obce,Obec Březová,585131
22.63,Okres Zlín – výběr obce,Obec Březůvky,585149
35.58,Okres Zlín – výběr obce,Obec Dešná,585157
22.37,Okres Zlín – výběr obce,Obec Dobrkovice,585165
31.32,Okres Zlín – výběr obce,Obec Dolní Lhota,585173
29.38,Okres Zlín – výběr obce,Obec Doubravy,585181
37.2,Okres Zlín – výběr obce,Obec Drnovice,585190
29.59,Okres Zlín – výběr obce,Obec Držková,585203
29.72,Okres Zlín – výběr obce,Obec Fryšták,585211
23.32,Okres Zlín – výběr obce,Obec Halenkovice,585220
55.93,Okres Zlín – výběr obce,Obec Haluzice,585238
38.83,Okres Zlín – výběr obce,Obec Horní Lhota,585246
23.33,Okres Zlín – výběr obce,Obec Hostišová,585254
28.13,Okres Zlín – výběr obce,Obec Hrobice,585262
25.73,Okres Zlín – výběr obce,Obec Hřivínův Újezd,585271
30.13,Okres Zlín – výběr obce,Obec Hvozdná,585289
30.91,Okres Zlín – výběr obce,Obec Jasenná,585301
25.76,Okres Zlín – výběr obce,Obec Jestřabí,585319
20.25,Okres Zlín – výběr obce,Obec Kaňovice,585327
22.84,Okres Zlín – výběr obce,Obec Karlovice,587052
29.4,Okres Zlín – výběr obce,Obec Kašava,585343
47.66,Okres Zlín – výběr obce,Obec Kelníky,592251
24.72,Okres Zlín – výběr obce,Obec Komárov,549436
40.29,Okres Zlín – výběr obce,Obec Křekov,586960
33.87,Okres Zlín – výběr obce,Obec Lhota,573434
24.55,Okres Zlín – výběr obce,Obec Lhotsko,549550
31.2,Okres Zlín – výběr obce,Obec Lípa,549622
25.44,Okres Zlín – výběr obce,Obec Lipová,586871
37.19,Okres Zlín – výběr obce,Obec Loučka,585432
24.31,Okres Zlín – výběr obce,Obec Ludkovice,585441
34.36,Okres Zlín – výběr obce,Obec Luhačovice,585459
28.08,Okres Zlín – výběr obce,Obec Lukov,585467
39.01,Okres Zlín – výběr obce,Obec Lukoveček,557145
21.92,Okres Zlín – výběr obce,Obec Lutonina,585483
27.36,Okres Zlín – výběr obce,Obec Machová,585491
37.9,Okres Zlín – výběr obce,Obec Mysločovice,585505
27.79,Okres Zlín – výběr obce,Obec Napajedla,585513
27.32,Okres Zlín – výběr obce,Obec Návojná,585521
16.91,Okres Zlín – výběr obce,Obec Nedašov,585530
26.16,Okres Zlín – výběr obce,Obec Nedašova Lhota,585548
23.06,Okres Zlín – výběr obce,Obec Neubuz,585556
29.01,Okres Zlín – výběr obce,Obec Oldřichovice,549444
23.39,Okres Zlín – výběr obce,Obec Ostrata,557170
25.98,Okres Zlín – výběr obce,Obec Otrokovice,585599
31.05,Okres Zlín – výběr obce,Obec Petrůvka,556874
34.1,Okres Zlín – výběr obce,Obec Podhradí,534811
32.14,Okres Zlín – výběr obce,Obec Podkopná Lhota,585611
35.1,Okres Zlín – výběr obce,Obec Pohořelice,549461
37.14,Okres Zlín – výběr obce,Obec Poteč,549533
34.31,Okres Zlín – výběr obce,Obec Pozlovice,549401
30.42,Okres Zlín – výběr obce,Obec Provodov,585661
25.51,Okres Zlín – výběr obce,Obec Racková,585670
25.15,Okres Zlín – výběr obce,Obec Rokytnice,556980
31.84,Okres Zlín – výběr obce,Obec Rudimov,586919
30.07,Okres Zlín – výběr obce,Obec Sazovice,585726
30.93,Okres Zlín – výběr obce,Obec Sehradice,585734
25.59,Okres Zlín – výběr obce,Obec Slavičín,585751
47.68,Okres Zlín – výběr obce,Obec Slopné,585769
23.17,Okres Zlín – výběr obce,Obec Slušovice,585777
27.3,Okres Zlín – výběr obce,Obec Spytihněv,585793
15.33,Okres Zlín – výběr obce,Obec Šanov,585807
36.04,Okres Zlín – výběr obce,Obec Šarovy,585815
26.15,Okres Zlín – výběr obce,Obec Štítná nad Vláří-Popov,585831
29.76,Okres Zlín – výběr obce,Obec Tečovice,549649
25.31,Okres Zlín – výběr obce,Obec Tichov,535184
22.57,Okres Zlín – výběr obce,Obec Tlumačov,585858
22.27,Okres Zlín – výběr obce,Obec Trnava,585866
30.25,Okres Zlín – výběr obce,Obec Ublo,585874
27.23,Okres Zlín – výběr obce,Obec Újezd,585882
29.06,Okres Zlín – výběr obce,Obec Valašské Klobouky,585891
27.51,Okres Zlín – výběr obce,Obec Velký Ořechov,585912
28.16,Okres Zlín – výběr obce,Obec Veselá,585921
26.58,Okres Zlín – výběr obce,Obec Vizovice,585939
22.16,Okres Zlín – výběr obce,Obec Vlachova Lhota,586994
25.75,Okres Zlín – výběr obce,Obec Vlachovice,585955
20.24,Okres Zlín – výběr obce,Obec Vlčková,585963
23.33,Okres Zlín – výběr obce,Obec Všemina,585971
22.64,Okres Zlín – výběr obce,Obec Vysoké Pole,585980
24.01,Okres Zlín – výběr obce,Obec Zádveřice-Raková,585998
31.59,Okres Zlín – výběr obce,Obec Zlín,585068
30.97,Okres Zlín – výběr obce,Obec Želechovice nad Dřevnicí,500011
30.18,Okres Zlín – výběr obce,Obec Žlutava,586013
23.47,Okres Uherské Hradiště – výběr obce,Obec Babice,592013
24.87,Okres Uherské Hradiště – výběr obce,Obec Bánov,592021
29.08,Okres Uherské Hradiště – výběr obce,Obec Bílovice,592030
25.75,Okres Uherské Hradiště – výběr obce,Obec Bojkovice,592048
29.45,Okres Uherské Hradiště – výběr obce,Obec Boršice,592064
