turnout,district,municipality,id
28.82,Hlavní město Praha – výběr obce,Obec Praha 1,500054
24.48,Hlavní město Praha – výběr obce,Obec Praha 10,500224
24.4,Hlavní město Praha – výběr obce,Obec Praha 11,547034
23.25,Hlavní město Praha – výběr obce,Obec Praha 12,547107
24.75,Hlavní město Praha – výběr obce,Obec Praha 13,539694
19.95,Hlavní město Praha – výběr obce,Obec Praha 14,547361
22.78,Hlavní město Praha – výběr obce,Obec Praha 15,547387
29.19,Hlavní město Praha – výběr obce,Obec Praha 16,539601
21.86,Hlavní město Praha – výběr obce,Obec Praha 17,547174
22.02,Hlavní město Praha – výběr obce,Obec Praha 18,547417
28.14,Hlavní město Praha – výběr obce,Obec Praha 19,547344
26.22,Hlavní město Praha – výběr obce,Obec Praha 2,500089
25.23,Hlavní město Praha – výběr obce,Obec Praha 20,538213
27.42,Hlavní město Praha – výběr obce,Obec Praha 21,538949
25.39,Hlavní město Praha – výběr obce,Obec Praha 22,538931
23.8,Hlavní město Praha – výběr obce,Obec Praha 3,500097
26.22,Hlavní město Praha – výběr obce,Obec Praha 4,500119
26.43,Hlavní město Praha – výběr obce,Obec Praha 5,500143
33.21,Hlavní město Praha – výběr obce,Obec Praha 6,500178
30.33,Hlavní město Praha – výběr obce,Obec Praha 7,500186
23.65,Hlavní město Praha – výběr obce,Obec Praha 8,500208
23.11,Hlavní město Praha – výběr obce,Obec Praha 9,500216
27.61,Hlavní město Praha – výběr obce,Obec Praha-Běchovice,538060
33.7,Hlavní město Praha – výběr obce,Obec Praha-Benice,538078
35.69,Hlavní město Praha – výběr obce,Obec Praha-Březiněves,538124
23.97,Hlavní město Praha – výběr obce,Obec Praha-Čakovice,547310
26.89,Hlavní město Praha – výběr obce,Obec Praha-Ďáblice,547298
29.69,Hlavní město Praha – výběr obce,Obec Praha-Dolní Chabry,547301
29.42,Hlavní město Praha – výběr obce,Obec Praha-Dolní Měcholupy,547379
31.5,Hlavní město Praha – výběr obce,Obec Praha-Dolní Počernice,538175
