001 07 3 40 Südwestpfalz RP 66,9
002 10 0 46 St. Wendel SL 65,5
003 07 1 35 Cochem-Zell RP 63,6
004 07 3 37 Südliche Weinstraße RP 63,3
005 07 2 32 Eifelkreis Bitburg-Prüm RP 62,8
006 07 3 39 Mainz-Bingen RP 62,7
007 05 5 15 Münster, Stadt NW 61,9
008 07 1 40 Rhein-Hunsrück-Kreis RP 61,7
009 07 3 35 Kaiserslautern RP 61,6
010 07 2 35 Trier-Saarburg RP 61,5
011 07 3 36 Kusel RP 61,4
012 07 3 31 Alzey-Worms RP 60,9
013 07 2 33 Vulkaneifel RP 60,6
014 10 0 42 Merzig-Wadern SL 60,4
015 07 3 32 Bad Dürkheim RP 60,3
016 05 5 58 Coesfeld NW 60,2
017 05 3 14 Bonn, Stadt NW 59,8
018 07 2 31 Bernkastel-Wittlich RP 59,6
019 07 3 38 Rhein-Pfalz-Kreis RP 59,5
020 07 3 33 Donnersbergkreis RP 59,2
021 07 1 43 Westerwaldkreis RP 58,9
022 07 1 41 Rhein-Lahn-Kreis RP 58,8
023 07 1 33 Bad Kreuznach RP 58,6
024 16 0 74 Saale-Holzland-Kreis TH 58,5
025 05 3 82 Rhein-Sieg-Kreis NW 58,3
026 05 7 62 Höxter NW 58,0
027 05 3 78 Rheinisch-Bergischer Kreis NW 57,8
028 07 3 34 Germersheim RP 57,8
029 08 4 16 Tübingen BW 57,7
030 05 5 66 Steinfurt NW 57,6
031 08 4 25 Alb-Donau-Kreis BW 57,5
032 05 5 70 Warendorf NW 57,4
033 07 1 31 Ahrweiler RP 57,4
034 08 1 28 Main-Tauber-Kreis BW 57,4
035 08 3 15 Breisgau-Hochschwarzwald BW 57,4
036 10 0 45 Saarpfalz-Kreis SL 57,4
037 16 0 61 Eichsfeld TH 57,3
038 16 0 71 Weimarer Land TH 56,6
039 05 5 54 Borken NW 56,0
040 03 3 57 Rotenburg (Wümme) NI 55,5
041 07 1 37 Mayen-Koblenz RP 55,5
042 05 9 58 Hochsauerlandkreis NW 55,4
043 07 1 32 Altenkirchen (Westerwald) RP 55,3
044 16 0 76 Greiz TH 55,3
045 07 3 15 Mainz, kreisfreie Stadt RP 55,1
046 07 3 16 Neustadt an der Weinstraße, kreisfreie Stadt RP 55,1
047 03 4 58 Oldenburg NI 55,0
048 08 3 11 Freiburg im Breisgau, Stadt BW 55,0
049 08 2 21 Heidelberg, Stadt BW 54,8
050 07 3 13 Landau in der Pfalz, kreisfreie Stadt RP 54,7
051 16 0 63 Wartburgkreis TH 54,7
052 08 1 18 Ludwigsburg BW 54,6
053 08 4 35 Bodenseekreis BW 54,6
054 05 3 34 Städteregion Aachen NW 54,5
055 05 1 58 Mettmann NW 54,3
056 05 3 74 Oberbergischer Kreis NW 54,3
057 08 2 25 Neckar-Odenwald-Kreis BW 54,3
058 10 0 44 Saarlouis SL 54,3
059 05 3 70 Heinsberg NW 54,2
060 05 9 66 Olpe NW 54,2
061 07 1 38 Neuwied RP 54,2
062 08 2 26 Rhein-Neckar-Kreis BW 54,2
063 08 4 26 Biberach BW 54,1
064 16 0 75 Saale-Orla-Kreis TH 54,1
065 14 6 28 Sächsische Schweiz-Osterzgebirge SN 54,0
066 05 7 54 Gütersloh NW 53,9
067 05 7 66 Lippe NW 53,9
068 08 1 16 Esslingen BW 53,9
069 05 1 11 Düsseldorf, Stadt NW 53,8
070 05 3 58 Düren NW 53,8
071 08 3 16 Emmendingen BW 53,8
072 08 4 37 Sigmaringen BW 53,8
073 14 6 12 Dresden, Stadt SN 53,8
074 08 1 15 Böblingen BW 53,7
075 16 0 68 Sömmerda TH 53,7
076 08 2 15 Karlsruhe BW 53,6
077 08 2 36 Enzkreis BW 53,6
078 05 9 70 Siegen-Wittgenstein NW 53,5
079 03 3 61 Verden NI 53,4
080 05 7 11 Bielefeld, Stadt NW 53,3
081 05 3 15 Köln, Stadt NW 53,2
082 05 9 15 Hamm, Stadt NW 53,2
083 08 1 11 Stuttgart, Landeshauptstadt BW 53,2
084 03 3 55 Lüneburg NI 53,1
085 05 9 74 Soest NW 53,1
086 12 0 69 Potsdam-Mittelmark BB 53,1
087 03 3 54 Lüchow-Dannenberg NI 53,0
088 07 1 34 Birkenfeld RP 53,0
089 03 4 59 Osnabrück NI 52,9
090 05 1 66 Viersen NW 52,9
091 05 3 66 Euskirchen NW 52,9
092 08 1 19 Rems-Murr-Kreis BW 52,9
093 05 7 58 Herford NW 52,8
094 05 1 70 Wesel NW 52,7
095 03 1 58 Wolfenbüttel NI 52,6
096 05 7 74 Paderborn NW 52,6
097 16 0 70 Ilm-Kreis TH 52,6
098 03 1 52 Göttingen NI 52,5
099 05 1 54 Kleve NW 52,5
100 05 1 62 Rhein-Kreis Neuss NW 52,5
101 16 0 69 Hildburghausen TH 52,5
102 05 1 17 Mülheim an der Ruhr, Stadt NW 52,4
103 05 3 62 Rhein-Erft-Kreis NW 52,3
104 05 9 54 Ennepe-Ruhr-Kreis NW 52,3
105 16 0 53 Jena, Stadt TH 52,3
106 03 3 53 Harburg NI 52,2
107 14 6 25 Bautzen SN 52,2
108 16 0 67 Gotha TH 51,9
109 08 1 25 Heilbronn BW 51,8
110 08 2 35 Calw BW 51,8
111 08 3 37 Waldshut BW 51,8
112 08 4 36 Ravensburg BW 51,8
113 14 5 21 Erzgebirgskreis SN 51,8
114 16 0 66 Schmalkalden-Meiningen TH 51,8
115 09 1 88 Starnberg BY 51,7
116 16 0 65 Kyffhäuserkreis TH 51,7
117 14 5 22 Mittelsachsen SN 51,6
118 16 0 56 Eisenach, Stadt TH 51,6
119 03 4 60 Vechta NI 51,5
120 08 1 26 Hohenlohekreis BW 51,5
121 08 3 25 Rottweil BW 51,5
122 03 4 54 Emsland NI 51,4
123 10 0 43 Neunkirchen SL 51,4
124 03 1 01 Braunschweig, Stadt NI 51,3
125 05 9 78 Unna NW 51,3
126 13 0 76 Ludwigslust-Parchim MV 51,3
127 08 2 37 Freudenstadt BW 51,2
128 12 0 61 Dahme-Spreewald BB 51,2
129 03 3 58 Heidekreis NI 51,1
130 03 4 56 Grafschaft Bentheim NI 51,1
131 03 4 04 Osnabrück, Stadt NI 51,0
132 08 3 17 Ortenaukreis BW 51,0
133 03 4 52 Aurich NI 50,8
134 05 7 70 Minden-Lübbecke NW 50,8
135 12 0 62 Elbe-Elster BB 50,8
136 16 0 73 Saalfeld-Rudolstadt TH 50,8
137 08 3 35 Konstanz BW 50,7
138 14 6 27 Meißen SN 50,7
139 03 2 57 Schaumburg NI 50,6
140 03 4 53 Cloppenburg NI 50,6
141 08 3 27 Tuttlingen BW 50,6
142 06 4 34 Hochtaunuskreis HE 50,5
143 01 0 62 Stormarn SH 50,4
144 08 1 36 Ostalbkreis BW 50,4
145 08 1 17 Göppingen BW 50,3
146 05 9 11 Bochum, Stadt NW 50,1
147 07 3 18 Speyer, kreisfreie Stadt RP 50,1
148 08 4 15 Reutlingen BW 50,1
149 14 6 26 Görlitz SN 50,0
150 16 0 55 Weimar, Stadt TH 50,0
151 03 3 60 Uelzen NI 49,9
152 08 4 21 Ulm, Universitätsstadt BW 49,9
153 05 5 12 Bottrop, Stadt NW 49,8
154 08 2 16 Rastatt BW 49,8
155 03 3 56 Osterholz NI 49,7
156 06 4 36 Main-Taunus-Kreis HE 49,7
157 03 2 51 Diepholz NI 49,6
158 12 0 54 Potsdam, Stadt BB 49,6
159 16 0 64 Unstrut-Hainich-Kreis TH 49,6
160 05 5 62 Recklinghausen NW 49,3
161 07 1 11 Koblenz, kreisfreie Stadt RP 49,3
162 09 1 84 München BY 49,3
163 03 2 52 Hameln-Pyrmont NI 49,2
164 03 4 51 Ammerland NI 49,2
165 03 4 55 Friesland NI 49,2
166 08 3 26 Schwarzwald-Baar-Kreis BW 49,2
167 12 0 67 Oder-Spree BB 49,1
168 12 0 71 Spree-Neiße BB 49,1
169 03 4 57 Leer NI 48,9
170 08 2 12 Karlsruhe, Stadt BW 48,9
171 08 4 17 Zollernalbkreis BW 48,9
172 05 3 16 Leverkusen, Stadt NW 48,8
173 07 3 19 Worms, kreisfreie Stadt RP 48,8
174 03 2 41 Region Hannover NI 48,7
175 13 0 74 Nordwestmecklenburg MV 48,7
176 07 2 11 Trier, kreisfreie Stadt RP 48,6
177 16 0 62 Nordhausen TH 48,6
178 03 2 54 Hildesheim NI 48,5
179 06 4 11 Darmstadt, Wissenschaftsstadt HE 48,5
180 08 3 36 Lörrach BW 48,5
181 05 1 14 Krefeld, Stadt NW 48,3
182 10 0 41 Regionalverband Saarbrücken SL 48,3
183 14 5 23 Vogtlandkreis SN 48,3
184 16 0 77 Altenburger Land TH 48,3
185 03 1 55 Northeim NI 48,2
186 08 1 27 Schwäbisch Hall BW 48,2
187 09 5 62 Erlangen, Stadt BY 48,2
188 13 0 72 Landkreis Rostock MV 48,2
189 13 0 75 Vorpommern-Greifswald MV 48,2
190 05 1 24 Wuppertal, Stadt NW 48,1
191 05 9 14 Hagen, Stadt der FernUniversität NW 48,1
192 07 3 11 Frankenthal (Pfalz), kreisfreie Stadt RP 48,1
193 14 7 29 Leipzig SN 48,1
194 16 0 51 Erfurt, Stadt TH 48,0
195 03 3 59 Stade NI 47,9
196 15 0 86 Jerichower Land ST 47,9
197 03 1 51 Gifhorn NI 47,8
198 03 4 62 Wittmund NI 47,8
199 09 1 75 Ebersberg BY 47,6
200 05 9 13 Dortmund, Stadt NW 47,5
201 08 2 11 Baden-Baden, Stadt BW 47,5
202 09 6 79 Würzburg BY 47,5
203 03 4 03 Oldenburg (Oldenburg), Stadt NI 47,4
204 05 1 13 Essen, Stadt NW 47,4
205 12 0 65 Oberhavel BB 47,2
206 16 0 72 Sonneberg TH 47,2
207 03 2 55 Holzminden NI 47,0
208 09 5 72 Erlangen-Höchstadt BY 47,0
209 15 0 01 Dessau-Roßlau, Stadt ST 47,0
