"1.1. Europaparlamentsvalen 1996-2014, uppgifter om röstning"

"Område","År","Valdeltagande Kön totalt"
"Hela landet","2014",39.1
"01 Helsingfors valkrets","2014",48.6
"091 Helsingfors","2014",48.6
"02 Nylands valkrets","2014",43.6
"018 Askola","2014",37.1
"049 Esbo","2014",51.0
"078 Hangö","2014",37.4
"092 Vanda","2014",40.1
"106 Hyvinge","2014",36.3
"149 Ingå","2014",51.0
"186 Träskända","2014",41.4
"224 Högfors","2014",35.7
"235 Grankulla","2014",65.5
"245 Kervo","2014",42.8
"257 Kyrkslätt","2014",47.0
"407 Lappträsk","2014",39.3
"434 Lovisa","2014",40.2
"424 Liljendal","2014",-
"585 Pernaja","2014",-
"701 Ruotsinpyhtää","2014",-
"444 Lojo","2014",37.6
"223 Karislojo","2014",-
"540 Nummi-Pusula","2014",-
"737 Sammatti","2014",-
"504 Mörskom","2014",38.9
"505 Mäntsälä","2014",34.3
"543 Nurmijärvi","2014",39.9
"611 Borgnäs","2014",37.9
"616 Pukkila","2014",37.0
"638 Borgå","2014",42.3
"710 Raseborg","2014",41.7
"220 Karis","2014",-
"606 Pojo","2014",-
"835 Ekenäs","2014",-
"753 Sibbo","2014",47.1
"755 Sjundeå","2014",45.5
"858 Tusby","2014",42.4
"927 Vichtis","2014",40.1
"03 Egentliga Finlands valkrets","2014",39.6
"019 Aura","2014",37.9
"202 S:t Karins","2014",42.5
"602 Pikis","2014",-
"284 Koski Tl","2014",39.5
"304 Gustavs","2014",45.2
"322 Kimitoön","2014",39.4
"040 Dragsfjärd","2014",-
"243 Kimito","2014",-
"923 Västanfjärd","2014",-
"400 Laitila","2014",29.7
"423 Lundo","2014",42.0
"430 Loimaa","2014",36.0
"006 Alastaro","2014",-
"431 Loimaa kommun","2014",-
"482 Mellilä","2014",-
"445 Pargas","2014",43.0
"101 Houtskär","2014",-
"150 Iniö","2014",-
"279 Korpo","2014",-
"533 Nagu","2014",-
"573 Pargas","2014",-
"480 Marttila","2014",41.9
"481 Masku","2014",38.4
"017 Villnäs","2014",-
"419 Lemu","2014",-
"503 Mynämäki","2014",35.3
"490 Mietoinen","2014",-
"529 Nådendal","2014",43.7
"485 Merimasku","2014",-
"705 Rimito","2014",-
"920 Velkua","2014",-
"538 Nousis","2014",39.1
"561 Oripää","2014",35.6
"577 Pemar","2014",40.1
"631 Pyhäranta","2014",33.7
"636 Pöytyä","2014",38.2
"219 Karinainen","2014",-
"979 Yläne","2014",-
"680 Reso","2014",37.8
"704 Rusko","2014",41.5
"906 Vahto","2014",-
"734 Salo","2014",33.7
"073 Halikko","2014",-
"252 Kiikala","2014",-
"259 Kisko","2014",-
"308 Kuusjoki","2014",-
"501 Muurla","2014",-
"586 Bjärnå","2014",-
"587 Pertteli","2014",-
"776 Suomusjärvi","2014",-
"784 Finby","2014",-
"738 Sagu","2014",43.4
"761 Somero","2014",36.5
"833 Tövsala","2014",34.6
"838 Tarvasjoki","2014",40.2
"853 Åbo","2014",41.8
"895 Nystad","2014",33.0
"918 Vehmaa","2014",36.4
"04 Satakunta valkrets","2014",34.2
"050 Eura","2014",32.4
"262 Kiukainen","2014",-
"051 Euraåminne","2014",34.1
"079 Harjavalta","2014",33.7
"099 Honkajoki","2014",32.9
"102 Huittinen","2014",37.2
"913 Vampula","2014",-
"181 Jämijärvi","2014",33.3
"214 Kankaanpää","2014",33.5
"230 Karvia","2014",38.8
"271 Kumo","2014",35.2
"319 Kjulo","2014",36.5
"413 Lavia","2014",38.3
"442 Luvia","2014",37.3
"484 Sastmola","2014",34.6
"531 Nakkila","2014",36.1
"608 Påmark","2014",36.2
"609 Björneborg","2014",33.9
"537 Noormarkku","2014",-
"684 Raumo","2014",33.1
"266 Kodisjoki","2014",-
"406 Lappi","2014",-
"747 Siikainen","2014",32.2
"783 Säkylä","2014",34.8
"886 Ulvsby","2014",35.5
"293 Kullaa","2014",-
"06 Tavastlands valkrets","2014",36.5
"016 Asikkala","2014",40.1
"061 Forssa","2014",37.4
"081 Hartola","2014",33.7
"082 Hattula","2014",37.2
"086 Hausjärvi","2014",35.4
"098 Hollola","2014",38.7
"103 Humppila","2014",38.9
"109 Tavastehus","2014",38.5
"083 Hauho","2014",-
"210 Kalvola","2014",-
"401 Lammi","2014",-
"692 Renko","2014",-
"855 Tuulos","2014",-
"111 Heinola","2014",34.6
"165 Janakkala","2014",35.4
"169 Jockis","2014",37.3
"283 Hämeenkoski","2014",37.2
"316 Kärkölä","2014",33.8
"398 Lahtis","2014",35.8
"433 Loppi","2014",36.2
"532 Nastola","2014",33.8
"560 Orimattila","2014",34.2
"015 Artsjö","2014",-
"576 Padasjoki","2014",35.9
"694 Riihimäki","2014",36.5
"781 Sysmä","2014",34.7
"834 Tammela","2014",39.3
"981 Ypäjä","2014",35.0
"07 Birkalands valkrets","2014",39.0
"020 Akaa","2014",33.1
"310 Kylmäkoski","2014",-
"864 Toijala","2014",-
"928 Viiala","2014",-
"108 Tavastkyro","2014",34.6
"143 Ikalis","2014",37.5
"177 Juupajoki","2014",33.6
"211 Kangasala","2014",39.3
"289 Kuhmalahti","2014",-
"730 Sahalahti","2014",-
"250 Kihniö","2014",34.7
"418 Lempäälä","2014",38.7
"508 Mänttä-Vilppula","2014",30.2
"506 Mänttä","2014",-
"933 Vilppula","2014",-
"536 Nokia","2014",36.8
"562 Orivesi","2014",38.6
"581 Parkano","2014",31.7
"604 Birkala","2014",44.4
"619 Punkalaidun","2014",40.2
"635 Pälkäne","2014",37.7
"439 Luopioinen","2014",-
"702 Ruovesi","2014",37.1
"790 Sastamala","2014",37.2
"254 Kiikoinen","2014",-
"493 Mouhijärvi","2014",-
"772 Suodenniemi","2014",-
"912 Vammala","2014",-
"988 Äetsä","2014",-
"837 Tammerfors","2014",41.5
"887 Urjala","2014",32.7
"908 Valkeakoski","2014",33.7
"922 Vesilahti","2014",39.2
"936 Virdois","2014",36.7
"980 Ylöjärvi","2014",37.2
"303 Kuru","2014",-
"932 Viljakkala","2014",-
"08 Kymmene valkrets","2014",32.8
"075 Fredrikshamn","2014",31.8
"917 Veckelax","2014",-
"142 Iitti","2014",35.8
"153 Imatra","2014",30.1
"285 Kotka","2014",33.9
"286 Kouvola","2014",32.0
"044 Elimäki","2014",-
"163 Jaala","2014",-
"306 Kuusankoski","2014",-
"754 Anjalankoski","2014",-
"909 Valkeala","2014",-
"405 Villmanstrand","2014",32.3
"173 Joutseno","2014",-
"978 Ylämaa","2014",-
"416 Lemi","2014",36.0
"441 Luumäki","2014",37.4
"489 Miehikkälä","2014",37.4
"580 Parikkala","2014",35.5
"728 Saari","2014",-
"891 Uukuniemi","2014",-
"624 Pyttis","2014",35.2
"689 Rautjärvi","2014",29.9
"700 Ruokolahti","2014",36.1
"739 Savitaipale","2014",36.6
"831 Taipalsaari","2014",38.1
"935 Virolahti","2014",36.5
"09 Södra Savolax valkrets","2014",35.1
"046 Enonkoski","2014",37.1
"090 Heinävesi","2014",35.7
"097 Hirvensalmi","2014",36.8
"171 Jorois","2014",32.4
"178 Juva","2014",36.5
"213 Kangasniemi","2014",36.9
"491 S:t Michel","2014",36.7
"014 Anttola","2014",-
"085 Haukivuori","2014",-
"492 S:t Michels lk","2014",-
"696 Ristiina","2014",-
"775 Suomenniemi","2014",-
"507 Mäntyharju","2014",38.2
"588 Pertunmaa","2014",34.9
"593 Pieksämäki","2014",29.8
"184 Jäppilä","2014",-
"594 Pieksämäki lk","2014",-
"640 Pieksänmaa","2014",-
"937 Virtasalmi","2014",-
"623 Puumala","2014",41.8
"681 Rantasalmi","2014",35.2
"740 Nyslott","2014",34.0
"246 Kerimäki","2014",-
"618 Punkaharju","2014",-
"741 Savonranta","2014",-
"768 Sulkava","2014",35.3
"10 Norra Savolax valkrets","2014",34.2
"140 Idensalmi","2014",33.1
"174 Juankoski","2014",32.6
"204 Kaavi","2014",26.6
"239 Keitele","2014",40.1
"263 Kiuruvesi","2014",32.4
"297 Kuopio","2014",35.6
"227 Karttula","2014",-
"534 Nilsiä","2014",-
"919 Vehmersalmi","2014",-
"402 Lapinlahti","2014",34.4
"916 Varpaisjärvi","2014",-
"420 Leppävirta","2014",35.9
"476 Maaninka","2014",34.3
"595 Pielavesi","2014",39.0
"686 Rautalampi","2014",34.5
"687 Rautavaara","2014",27.2
"749 Siilinjärvi","2014",35.0
"762 Sonkajärvi","2014",34.0
"778 Suonenjoki","2014",30.3
"844 Tervo","2014",38.5
"857 Tuusniemi","2014",33.5
"915 Varkaus","2014",28.8
"212 Kangaslampi","2014",-
"921 Vesanto","2014",38.8
"925 Vieremä","2014",33.6
"11 Norra Karelens valkrets","2014",32.0
"146 Ilomants","2014",29.5
"167 Joensuu","2014",33.7
"045 Eno","2014",-
"251 Kiihtelysvaara","2014",-
"632 Pyhäselkä","2014",-
"856 Tuupovaara","2014",-
"176 Juuka","2014",29.3
"260 Kitee","2014",28.6
"248 Kesälahti","2014",-
"276 Kontiolahti","2014",32.8
"309 Outokumpu","2014",27.4
"422 Lieksa","2014",30.4
"426 Liperi","2014",33.0
"541 Nurmes","2014",30.3
"607 Polvijärvi","2014",32.0
"707 Rääkkylä","2014",32.8
"848 Tohmajärvi","2014",30.0
"943 Värtsilä","2014",-
"911 Valtimo","2014",33.3
"12 Vasa valkrets","2014",39.9
"005 Alajärvi","2014",34.0
"414 Lehtimäki","2014",-
"010 Alavus","2014",34.0
"863 Töysä","2014",-
"052 Evijärvi","2014",35.0
"074 Halsua","2014",36.7
"145 Ilmajoki","2014",39.2
"151 Storå","2014",31.3
"152 Storkyro","2014",40.4
"164 Jalasjärvi","2014",34.7
"217 Kannus","2014",30.4
"218 Bötom","2014",36.4
"231 Kaskö","2014",43.7
"232 Kauhajoki","2014",31.5
"233 Kauhava","2014",37.2
"004 Alahärmä","2014",-
"281 Kortesjärvi","2014",-
"971 Ylihärmä","2014",-
"236 Kaustby","2014",37.3
"272 Karleby","2014",35.5
"315 Kelviå","2014",-
"429 Lochteå","2014",-
"885 Ullava","2014",-
"280 Korsnäs","2014",52.3
"287 Kristinestad","2014",40.5
"288 Kronoby","2014",49.7
"300 Kuortane","2014",40.4
"301 Kurikka","2014",34.6
"175 Jurva","2014",-
"399 Laihela","2014",39.2
"403 Lappajärvi","2014",41.1
"408 Lappo","2014",43.7
"421 Lestijärvi","2014",38.7
"440 Larsmo","2014",63.1
