id,registered,turnout,voted
01004,8153,40.81933030786213,3328
01005,1158,42.2279792746114,489
01006,108,49.074074074074076,53
01007,1772,45.65462753950339,809
01008,570,51.2280701754386,292
01009,258,48.06201550387597,124
01010,708,41.38418079096045,293
01011,264,53.03030303030303,140
01012,285,46.31578947368421,132
01013,143,46.15384615384615,66
01014,2189,33.53129282777524,734
01015,393,49.61832061068702,195
01016,326,36.19631901840491,118
01017,302,55.29801324503312,167
01019,35,62.857142857142854,22
01021,927,50.5933117583603,469
01022,848,43.39622641509434,368
01023,50,60.0,30
01024,2130,37.84037558685446,806
01025,2162,38.482886216466234,832
01026,553,40.14466546112116,222
01027,1166,45.54030874785592,531
01028,439,42.369020501138955,186
01029,412,46.359223300970875,191
01030,503,40.75546719681908,205
01031,2098,32.17349857006673,675
01032,1989,37.9587732528909,755
01033,6242,32.31336110221083,2017
01034,5616,44.49786324786324,2499
01035,276,44.565217391304344,123
01036,430,49.06976744186046,211
01037,217,51.61290322580645,112
01038,560,45.714285714285715,256
01039,338,45.857988165680474,155
01040,327,41.896024464831804,137
01041,594,46.801346801346796,278
01042,204,47.549019607843135,97
01043,3362,44.080904223676384,1482
01044,412,41.50485436893204,171
01045,175,42.857142857142854,75
01046,624,41.98717948717949,262
01047,642,46.10591900311526,296
01050,226,44.24778761061947,100
01051,101,57.42574257425742,58
01052,252,46.82539682539682,118
01053,22987,39.291773611171536,9032
01054,837,54.00238948626045,452
01056,308,55.1948051948052,170
01057,360,43.888888888888886,158
01058,584,46.74657534246575,273
01059,93,63.44086021505376,59
01060,425,55.76470588235294,237
01061,824,47.20873786407767,389
01062,573,49.73821989528796,285
01063,369,44.71544715447154,165
01064,663,32.57918552036199,216
01065,1266,42.49605055292259,538
01170,629,35.294117647058826,222
01245,670,51.7910447761194,347
01067,202,44.554455445544555,90
01068,523,44.74187380497132,234
01069,1057,36.9914853358562,391
01071,2448,39.869281045751634,976
01072,2097,44.77825464949928,939
01073,853,50.99648300117233,435
01074,1480,39.5945945945946,586
01075,870,38.50574712643678,335
01076,130,49.23076923076923,64
01077,151,51.65562913907284,78
01078,768,40.234375,309
01079,543,45.30386740331492,246
01080,333,53.153153153153156,177
01081,516,46.51162790697674,240
01082,386,45.59585492227979,176
01083,676,44.97041420118343,304
01084,515,40.58252427184466,209
01087,223,56.95067264573991,127
01088,716,48.882681564245814,350
01089,1267,43.48855564325177,551
01090,262,48.091603053435115,126
01091,2207,38.33257816039873,846
01092,1124,44.83985765124555,504
01093,3390,38.93805309734513,1320
01094,550,42.18181818181818,232
01095,404,52.22772277227723,211
01096,728,39.42307692307692,287
01097,181,46.96132596685083,85
01098,587,48.38160136286201,284
01099,1144,46.590909090909086,533
01100,125,57.599999999999994,72
01101,137,51.09489051094891,70
01102,621,39.452495974235106,245
01103,760,41.578947368421055,316
01104,348,49.137931034482754,171
01105,1043,42.56951102588686,444
01106,140,50.71428571428571,71
01107,119,55.46218487394958,66
01108,889,46.006749156355454,409
01109,1118,29.338103756708406,328
01110,112,50.0,56
01111,109,49.54128440366973,54
01112,265,55.094339622641506,146
01113,551,43.55716878402904,240
01114,361,44.32132963988919,160
01115,814,36.73218673218673,299
01116,424,54.009433962264154,229
01117,117,49.572649572649574,58
01118,768,41.66666666666667,320
01119,169,58.57988165680473,99
01121,89,61.79775280898876,55
01122,643,52.255054432348366,336
01123,776,45.74742268041237,355
01124,516,45.348837209302324,234
