commune,voters,eligible,turnout,district,region
Bratislava-Čunovo,175.0,986.0,17.74,Bratislava,Bratislavský
Bratislava-Devín,281.0,1096.0,25.63,Bratislava,Bratislavský
Bratislava-Devínska Nová Ves,2201.0,14578.0,15.09,Bratislava,Bratislavský
Bratislava-Dúbravka,5578.0,31185.0,17.91,Bratislava,Bratislavský
Bratislava-Jarovce,340.0,1551.0,21.92,Bratislava,Bratislavský
Bratislava-Karlova Ves,6424.0,29588.0,21.72,Bratislava,Bratislavský
Bratislava-Lamač,1521.0,6042.0,25.19,Bratislava,Bratislavský
Bratislava-Nové Mesto,7304.0,34948.0,20.92,Bratislava,Bratislavský
Bratislava-Petržalka,15358.0,99176.0,15.49,Bratislava,Bratislavský
Bratislava-Podunajské Biskupice,2727.0,18868.0,14.51,Bratislava,Bratislavský
Bratislava-Rača,3403.0,18289.0,18.63,Bratislava,Bratislavský
Bratislava-Rusovce,510.0,2792.0,18.26,Bratislava,Bratislavský
Bratislava-Ružinov,12933.0,64743.0,19.98,Bratislava,Bratislavský
Bratislava-Staré Mesto,9061.0,36114.0,25.12,Bratislava,Bratislavský
Bratislava-Vajnory,780.0,4255.0,18.33,Bratislava,Bratislavský
Bratislava-Vrakuňa,2249.0,16937.0,13.3,Bratislava,Bratislavský
Bratislava-Záhorská Bystrica,703.0,3236.0,21.72,Bratislava,Bratislavský
Borinka,120.0,579.0,20.72,Malacky,Bratislavský
Gajary,140.0,2429.0,5.76,Malacky,Bratislavský
Jablonové,91.0,1018.0,8.93,Malacky,Bratislavský
Jakubov,111.0,1307.0,8.56,Malacky,Bratislavský
Kostolište,117.0,1054.0,11.1,Malacky,Bratislavský
Kuchyňa,105.0,1420.0,7.39,Malacky,Bratislavský
Láb,161.0,1279.0,12.58,Malacky,Bratislavský
Lozorno,203.0,2488.0,8.15,Malacky,Bratislavský
Malacky,1669.0,15352.0,10.91,Malacky,Bratislavský
Malé Leváre,72.0,968.0,7.43,Malacky,Bratislavský
Marianka,218.0,1291.0,16.88,Malacky,Bratislavský
Pernek,77.0,713.0,10.79,Malacky,Bratislavský
Plavecké Podhradie,85.0,550.0,15.45,Malacky,Bratislavský
Plavecký Mikuláš,89.0,599.0,14.85,Malacky,Bratislavský
Plavecký Štvrtok,189.0,1906.0,9.91,Malacky,Bratislavský
Rohožník,179.0,2839.0,6.3,Malacky,Bratislavský
Sološnica,117.0,1312.0,8.91,Malacky,Bratislavský
Studienka,119.0,1417.0,8.39,Malacky,Bratislavský
Stupava,1153.0,8073.0,14.28,Malacky,Bratislavský
Suchohrad,71.0,572.0,12.41,Malacky,Bratislavský
Veľké Leváre,215.0,2994.0,7.18,Malacky,Bratislavský
Vysoká pri Morave,197.0,1729.0,11.39,Malacky,Bratislavský
Záhorie (vojenský obvod),16.0,139.0,11.51,Malacky,Bratislavský
Záhorská Ves,100.0,1441.0,6.93,Malacky,Bratislavský
Závod,166.0,2307.0,7.19,Malacky,Bratislavský
Zohor,268.0,2675.0,10.01,Malacky,Bratislavský
Báhoň,207.0,1401.0,14.84,Pezinok,Bratislavský
Budmerice,266.0,1942.0,13.69,Pezinok,Bratislavský
Častá,213.0,1850.0,11.56,Pezinok,Bratislavský
Doľany,107.0,873.0,12.25,Pezinok,Bratislavský
Dubová,115.0,836.0,13.75,Pezinok,Bratislavský
Jablonec,88.0,747.0,11.78,Pezinok,Bratislavský
Limbach,226.0,1407.0,16.06,Pezinok,Bratislavský
Modra,1159.0,7582.0,15.31,Pezinok,Bratislavský
Pezinok,2847.0,19316.0,14.75,Pezinok,Bratislavský
Píla,58.0,296.0,19.59,Pezinok,Bratislavský
Šenkvice,482.0,3868.0,12.48,Pezinok,Bratislavský
Slovenský Grob,253.0,2089.0,12.11,Pezinok,Bratislavský
Štefanová,33.0,293.0,11.26,Pezinok,Bratislavský
Svätý Jur,725.0,4487.0,16.18,Pezinok,Bratislavský
Viničné,233.0,1802.0,12.93,Pezinok,Bratislavský
Vinosady,139.0,1009.0,13.77,Pezinok,Bratislavský
Vištuk,118.0,1114.0,10.59,Pezinok,Bratislavský
Bernolákovo,753.0,4826.0,15.6,Senec,Bratislavský
Blatné,204.0,1348.0,15.28,Senec,Bratislavský
Boldog,95.0,379.0,25.06,Senec,Bratislavský
