"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,37,"BGR","Bulgaria",1,"Blagoevgrad",1,"Bansko","Obshtina","Municipality","<U+0411><U+0430><U+043D><U+0441><U+043A><U+043E>",NA
2,37,"BGR","Bulgaria",1,"Blagoevgrad",2,"Belitsa","Obshtina","Municipality","<U+0411><U+0435><U+043B><U+0438><U+0446><U+0430>",NA
3,37,"BGR","Bulgaria",1,"Blagoevgrad",3,"Blagoevgrad","City","City","<U+0411><U+043B><U+0430><U+0433><U+043E><U+0435><U+0432><U+0433><U+0440><U+0430><U+0434>","Gorna Dzhumaya"
4,37,"BGR","Bulgaria",1,"Blagoevgrad",4,"Garmen","Obshtina","Municipality","<U+0413><U+044A><U+0440><U+043C><U+0435><U+043D>",NA
5,37,"BGR","Bulgaria",1,"Blagoevgrad",5,"Gotse Delchev","Obshtina","Municipality","<U+0413><U+043E><U+0446><U+0435> <U+0414><U+0435><U+043B><U+0447><U+0435><U+0432>","Goce Delcev|Goce Delchev"
6,37,"BGR","Bulgaria",1,"Blagoevgrad",6,"Hadzhidimovo","Obshtina","Municipality","<U+0425><U+0430><U+0434><U+0436><U+0438><U+0434><U+0438><U+043C><U+043E><U+0432><U+043E>",NA
7,37,"BGR","Bulgaria",1,"Blagoevgrad",7,"Kresna","Obshtina","Municipality","<U+041A><U+0440><U+0435><U+0441><U+043D><U+0430>",NA
8,37,"BGR","Bulgaria",1,"Blagoevgrad",8,"Petrich","Obshtina","Municipality","<U+041F><U+0435><U+0442><U+0440><U+0438><U+0447>",NA
9,37,"BGR","Bulgaria",1,"Blagoevgrad",9,"Razlog","Obshtina","Municipality","<U+0420><U+0430><U+0437><U+043B><U+043E><U+0433>",NA
10,37,"BGR","Bulgaria",1,"Blagoevgrad",10,"Sandanski","Obshtina","Municipality","<U+0421><U+0430><U+043D><U+0434><U+0430><U+043D><U+0441><U+043A><U+0438>","Sveti Vrach"
11,37,"BGR","Bulgaria",1,"Blagoevgrad",11,"Satovcha","Obshtina","Municipality","<U+0421><U+0430><U+0442><U+043E><U+0432><U+0447><U+0430>","Satovitsa| Svatovitsa"
12,37,"BGR","Bulgaria",1,"Blagoevgrad",12,"Simitli","Obshtina","Municipality","<U+0421><U+0438><U+043C><U+0438><U+0442><U+043B><U+0438>",NA
13,37,"BGR","Bulgaria",1,"Blagoevgrad",13,"Strumyani","Obshtina","Municipality",NA,NA
14,37,"BGR","Bulgaria",1,"Blagoevgrad",14,"Yakoruda","Obshtina","Municipality","<U+042F><U+043A><U+043E><U+0440><U+0443><U+0434><U+0430>",NA
15,37,"BGR","Bulgaria",2,"Burgas",15,"Aitos","Obshtina","Municipality","<U+0410><U+0439><U+0442><U+043E><U+0441>","Aytos|Aetós|Ajtos"
16,37,"BGR","Bulgaria",2,"Burgas",16,"Burgas","City","City","<U+0411><U+0443><U+0440><U+0433><U+0430><U+0441>","Bourgas"
17,37,"BGR","Bulgaria",2,"Burgas",17,"Kameno","Obshtina","Municipality",NA,NA
18,37,"BGR","Bulgaria",2,"Burgas",18,"Karnobat","Obshtina","Municipality","<U+041A><U+0430><U+0440><U+043D><U+043E><U+0431><U+0430><U+0442>",NA
19,37,"BGR","Bulgaria",2,"Burgas",19,"Malko Tarnovo","Obshtina","Municipality","<U+041C><U+0430><U+043B><U+043A><U+043E> <U+0422><U+044A><U+0440><U+043D><U+043E><U+0432><U+043E>",NA
20,37,"BGR","Bulgaria",2,"Burgas",20,"Nesebar","Obshtina","Municipality","<U+041D><U+0435><U+0441><U+0435><U+0431><U+044A><U+0440>","Nesebar"
21,37,"BGR","Bulgaria",2,"Burgas",21,"Pomorie","Obshtina","Municipality","<U+041F><U+043E><U+043C><U+043E><U+0440><U+0438><U+0435>","Anchialos|Anchialus|Tuthom|Anhialo|Ahyolu"
22,37,"BGR","Bulgaria",2,"Burgas",22,"Primorsko","Obshtina","Municipality",NA,NA
23,37,"BGR","Bulgaria",2,"Burgas",23,"Ruen","Obshtina","Municipality",NA,NA
24,37,"BGR","Bulgaria",2,"Burgas",24,"Sozopol","Obshtina","Municipality","<U+0421><U+043E><U+0437><U+043E><U+043F><U+043E><U+043B>",NA
25,37,"BGR","Bulgaria",2,"Burgas",25,"Sredets","Obshtina","Municipality","<U+0421><U+0440><U+0435><U+0434><U+0435><U+0446>",NA
26,37,"BGR","Bulgaria",2,"Burgas",26,"Sungurlare","Obshtina","Municipality",NA,NA
27,37,"BGR","Bulgaria",2,"Burgas",27,"Tsarevo","Obshtina","Municipality","<U+0426><U+0430><U+0440><U+0435><U+0432><U+043E>","Carevo|Tzarevo|Vasiliko|Michurin"
28,37,"BGR","Bulgaria",3,"Dobrich",28,"Balchik","Obshtina","Municipality","<U+0411><U+0430><U+043B><U+0447><U+0438><U+043A>","<U+039A><U+03C1><U+03BF><U+03C5><U+03BD><U+03BF><U+03B9>|Dionysopolis|Balcic"
29,37,"BGR","Bulgaria",3,"Dobrich",29,"Dobrich-selska","Obshtina","Municipality",NA,NA
30,37,"BGR","Bulgaria",3,"Dobrich",30,"Dobrich","City","City","<U+0414><U+043E><U+0431><U+0440><U+0438><U+0447>","Bazargic"
31,37,"BGR","Bulgaria",3,"Dobrich",31,"General Toshevo","Obshtina","Municipality",NA,NA
32,37,"BGR","Bulgaria",3,"Dobrich",32,"Kavarna","Obshtina","Municipality","<U+041A><U+0430><U+0432><U+0430><U+0440><U+043D><U+0430>","Cavarna"
33,37,"BGR","Bulgaria",3,"Dobrich",33,"Krushari","Obshtina","Municipality",NA,NA
34,37,"BGR","Bulgaria",3,"Dobrich",34,"Shabla","Obshtina","Municipality","<U+0428><U+0430><U+0431><U+043B><U+0430>","Sabla"
35,37,"BGR","Bulgaria",3,"Dobrich",35,"Tervel","Obshtina","Municipality","<U+0422><U+0435><U+0440><U+0432><U+0435><U+043B>","Tarvel|Terval|Terbelis"
36,37,"BGR","Bulgaria",4,"Gabrovo",36,"Dryanovo","Obshtina","Municipality","<U+0414><U+0440><U+044F><U+043D><U+043E><U+0432><U+043E>",NA
37,37,"BGR","Bulgaria",4,"Gabrovo",37,"Gabrovo","City","City","<U+0413><U+0430><U+0431><U+0440><U+043E><U+0432><U+043E>",NA
38,37,"BGR","Bulgaria",4,"Gabrovo",38,"Sevlievo","Obshtina","Municipality","<U+0421><U+0435><U+0432><U+043B><U+0438><U+0435><U+0432><U+043E>",NA
39,37,"BGR","Bulgaria",4,"Gabrovo",39,"Tryavna","Obshtina","Municipality","<U+0422><U+0440><U+044F><U+0432><U+043D><U+0430>",NA
40,37,"BGR","Bulgaria",5,"Grad Sofiya",40,"Stolichna","City","City",NA,NA
41,37,"BGR","Bulgaria",6,"Haskovo",41,"Dimitrovgrad","Obshtina","Municipality","<U+0414><U+0438><U+043C><U+0438><U+0442><U+0440><U+043E><U+0432><U+0433><U+0440><U+0430><U+0434>",NA
42,37,"BGR","Bulgaria",6,"Haskovo",42,"Harmanli","Obshtina","Municipality","<U+0425><U+0430><U+0440><U+043C><U+0430><U+043D><U+043B><U+0438>",NA
43,37,"BGR","Bulgaria",6,"Haskovo",43,"Haskovo","City","City","<U+0425><U+0430><U+0441><U+043A><U+043E><U+0432><U+043E>",NA
44,37,"BGR","Bulgaria",6,"Haskovo",44,"Ivaylovgrad","Obshtina","Municipality","<U+0418><U+0432><U+0430><U+0439><U+043B><U+043E><U+0432><U+0433><U+0440><U+0430><U+0434>",NA
45,37,"BGR","Bulgaria",6,"Haskovo",45,"Lyubimets","Obshtina","Municipality","<U+041B><U+044E><U+0431><U+0438><U+043C><U+0435><U+0446>",NA
46,37,"BGR","Bulgaria",6,"Haskovo",46,"Madzharovo","Obshtina","Municipality","<U+041C><U+0430><U+0434><U+0436><U+0430><U+0440><U+043E><U+0432><U+043E>","Dupnitsa"
47,37,"BGR","Bulgaria",6,"Haskovo",47,"Mineralni Bani","Obshtina","Municipality",NA,NA
